Time [s], Intensity [dB],
0.060100, -38.097836,
0.060200, -19.904674,
0.060300, -11.008969,
0.060400, -46.597500,
0.060500, 1.129430,
0.060600, 2.112527,
0.060700, 37.811256,
0.060800, 25.615783,
0.060900, 42.623452,
0.061000, 52.404120,
0.061100, 112.973576,
0.061200, 104.053738,
0.061300, 133.833713,
0.061400, 56.650159,
0.061500, 46.025320,
0.061600, -0.145238,
0.061700, -39.939314,
0.061800, -26.298382,
0.061900, -37.965214,
0.062000, -15.687655,
0.062100, -26.570375,
0.062200, -7.099308,
0.062300, -17.984411,
0.062400, -25.610991,
0.062500, -18.326928,
0.062600, 24.062477,
0.062700, -7.711406,
0.062800, 39.148244,
0.062900, -3.430559,
0.063000, -5.357194,
0.063100, -41.299827,
0.063200, -16.534340,
0.063300, -14.477883,
0.063400, -48.661776,
0.063500, -6.988345,
0.063600, -8.263531,
0.063700, 41.622836,
0.063800, 22.436675,
0.063900, 18.055374,
0.064000, -26.629252,
0.064100, -9.952386,
0.064200, -12.503192,
0.064300, 3.230082,
0.064400, 27.288594,
0.064500, 25.581347,
0.064600, 40.739854,
0.064700, 138.364213,
0.064800, 106.929126,
0.064900, 11.703445,
0.065000, 23.545132,
0.065100, -8.995409,
0.065200, 15.601923,
0.065300, -50.897463,
0.065400, 17.857687,
0.065500, -14.988657,
0.065600, -29.771234,
0.065700, -9.832698,
0.065800, -7.487725,
0.065900, -52.949004,
0.066000, -24.911226,
0.066100, -22.272766,
0.066200, -8.255675,
0.066300, 28.260040,
0.066400, 33.934502,
0.066500, 14.210926,
0.066600, 0.923193,
0.066700, 18.602583,
0.066800, 38.915717,
0.066900, 7.495060,
0.067000, 10.358000,
0.067100, -40.932273,
0.067200, -49.147833,
0.067300, -43.677236,
0.067400, -5.578712,
0.067500, -22.848583,
0.067600, -55.010207,
0.067700, -36.866272,
0.067800, -7.226078,
0.067900, -5.949920,
0.068000, 17.093158,
0.068100, 135.289208,
0.068200, 19.398872,
0.068300, 25.839041,
0.068400, 13.530667,
0.068500, -26.969111,
0.068600, -1.236053,
0.068700, 38.468170,
0.068800, 119.537717,
0.068900, 71.101764,
0.069000, 20.735194,
0.069100, -9.461327,
0.069200, -41.048395,
0.069300, -44.405643,
0.069400, -11.094727,
0.069500, -52.729902,
0.069600, -47.616161,
0.069700, -81.590908,
0.069800, -27.295496,
0.069900, -12.512762,
0.070000, -64.981558,
0.070100, -68.506129,
0.070200, -36.199377,
0.070300, -58.782727,
0.070400, -32.063297,
0.070500, -81.302699,
0.070600, -34.326870,
0.070700, 8.803494,
0.070800, 44.562950,
0.070900, 53.000566,
0.071000, 27.716351,
0.071100, -3.022684,
0.071200, 35.299820,
0.071300, 23.379666,
0.071400, 98.219120,
0.071500, 161.688718,
0.071600, 54.857850,
0.071700, 21.104899,
0.071800, 4.565841,
0.071900, -3.898114,
0.072000, -0.911817,
0.072100, -6.095890,
0.072200, -42.718128,
0.072300, -65.507298,
0.072400, -14.566905,
0.072500, -63.037170,
0.072600, -35.038214,
0.072700, -15.563239,
0.072800, 11.280364,
0.072900, 41.961857,
0.073000, -32.366944,
0.073100, -45.458044,
0.073200, -37.443897,
0.073300, 3.164068,
0.073400, -39.189719,
0.073500, -30.233706,
0.073600, -5.245633,
0.073700, -10.475266,
0.073800, -9.845404,
0.073900, 2.997719,
0.074000, 20.009881,
0.074100, -21.155490,
0.074200, -9.661541,
0.074300, -37.578901,
0.074400, -3.995062,
0.074500, -24.679576,
0.074600, -8.136050,
0.074700, 11.871968,
0.074800, 39.804841,
0.074900, 190.255972,
0.075000, 65.682373,
0.075100, 29.684759,
0.075200, -20.430817,
0.075300, -0.832736,
0.075400, -16.604682,
0.075500, -38.824079,
0.075600, -33.181866,
0.075700, -55.576276,
0.075800, -58.970709,
0.075900, -55.879939,
0.076000, -34.996579,
0.076100, -46.323523,
0.076200, -17.846992,
0.076300, -21.343478,
0.076400, 35.716214,
0.076500, 68.992358,
0.076600, 54.276967,
0.076700, 28.262710,
0.076800, 13.808667,
0.076900, 33.890740,
0.077000, 2.581820,
0.077100, -35.109846,
0.077200, -7.368379,
0.077300, -33.403936,
0.077400, -22.249447,
0.077500, -32.837461,
0.077600, -21.860022,
0.077700, -40.727387,
0.077800, -50.613391,
0.077900, -19.521226,
0.078000, -28.278759,
0.078100, -26.723973,
0.078200, 18.903290,
0.078300, 71.867091,
0.078400, 30.998746,
0.078500, 3.120807,
0.078600, -31.660922,
0.078700, 8.720240,
0.078800, 7.045674,
0.078900, 47.040304,
0.079000, 88.516412,
0.079100, 136.925284,
0.079200, 24.369561,
0.079300, -7.552633,
0.079400, -32.557466,
0.079500, -46.750296,
0.079600, -47.481610,
0.079700, -14.019785,
0.079800, -81.755290,
0.079900, -58.582674,
0.080000, -72.275272,
0.080100, -30.991937,
0.080200, -20.569279,
0.080300, -55.962710,
0.080400, -67.380048,
0.080500, -69.980674,
0.080600, -4.865591,
0.080700, -35.492318,
0.080800, 8.164374,
0.080900, 32.619166,
0.081000, 52.454904,
0.081100, 40.136361,
0.081200, 2.181865,
0.081300, 5.396685,
0.081400, 17.844217,
0.081500, -18.269264,
0.081600, 95.796976,
0.081700, 55.203664,
0.081800, 47.736035,
0.081900, 15.134368,
0.082000, 12.447706,
0.082100, -36.526070,
0.082200, -52.681756,
0.082300, -55.152722,
0.082400, -43.116350,
0.082500, -33.505277,
0.082600, -4.168592,
0.082700, -11.755065,
0.082800, -18.634542,
0.082900, 9.766025,
0.083000, 22.443907,
0.083100, -8.752707,
0.083200, -2.478563,
0.083300, -26.737739,
0.083400, -17.500006,
0.083500, -25.805993,
0.083600, -20.280745,
0.083700, -27.380723,
0.083800, -9.377339,
0.083900, -25.426203,
0.084000, 10.799370,
0.084100, -9.233067,
0.084200, 28.997825,
0.084300, 9.317898,
0.084400, -3.777952,
0.084500, 1.479112,
0.084600, -42.523996,
0.084700, -0.734236,
0.084800, 18.878590,
0.084900, 22.704579,
0.085000, 90.342490,
0.085100, 87.951275,
0.085200, 20.640895,
0.085300, 26.334189,
0.085400, 6.909120,
0.085500, -14.170529,
0.085600, -27.117482,
0.085700, -27.549556,
0.085800, -17.975330,
0.085900, -25.455845,
0.086000, -57.480577,
0.086100, -9.733521,
0.086200, -12.937799,
0.086300, -35.688046,
0.086400, -25.737788,
0.086500, -22.092406,
0.086600, 3.236331,
0.086700, 34.715599,
0.086800, 43.389142,
0.086900, 25.024785,
0.087000, 44.822510,
0.087100, 33.380439,
0.087200, 2.883522,
0.087300, -5.546627,
0.087400, 22.222087,
0.087500, -52.095322,
0.087600, -42.481570,
0.087700, -30.628993,
0.087800, -35.391798,
0.087900, -35.663552,
0.088000, 35.249634,
0.088100, -29.269277,
0.088200, -37.613494,
0.088300, -20.803569,
0.088400, -1.896684,
0.088500, 64.730821,
0.088600, 43.322079,
0.088700, 2.863105,
0.088800, 23.888863,
0.088900, 21.562373,
0.089000, 36.189527,
0.089100, 126.310629,
0.089200, 49.898538,
0.089300, 106.058540,
0.089400, 35.447515,
0.089500, -1.979287,
0.089600, -15.507869,
0.089700, -24.345528,
0.089800, -26.218619,
0.089900, -34.564386,
0.090000, 0.368678,
0.090100, -52.767039,
0.090200, -57.762876,
0.090300, -17.243526,
0.090400, -26.022963,
0.090500, -62.692739,
0.090600, -37.288757,
0.090700, -40.132404,
0.090800, -25.853551,
0.090900, -8.611837,
0.091000, 9.918765,
0.091100, 47.774537,
0.091200, 39.251028,
0.091300, 13.717406,
0.091400, 31.332219,
0.091500, 8.988008,
0.091600, 18.507787,
0.091700, 38.692891,
0.091800, 75.595017,
0.091900, 94.999378,
0.092000, 65.763928,
0.092100, 46.457374,
0.092200, 12.408704,
0.092300, -11.098408,
0.092400, 41.847107,
0.092500, -38.090212,
0.092600, -19.188538,
0.092700, 4.114653,
0.092800, -31.967483,
0.092900, -27.206142,
0.093000, -22.937401,
0.093100, 70.679785,
0.093200, 30.469195,
0.093300, 2.790627,
0.093400, 0.301127,
0.093500, -28.548052,
0.093600, -22.947404,
0.093700, -31.673630,
0.093800, -34.423715,
0.093900, -61.141849,
0.094000, -34.858516,
0.094100, -39.040997,
0.094200, -25.501282,
0.094300, -15.290621,
0.094400, 73.134700,
0.094500, -7.364932,
0.094600, 21.938734,
0.094700, 12.441116,
0.094800, 32.451326,
0.094900, 26.257818,
0.095000, -2.108393,
0.095100, 37.772616,
0.095200, 61.368947,
0.095300, 49.971504,
0.095400, 32.191988,
0.095500, -0.129035,
0.095600, -38.199418,
0.095700, -38.740455,
0.095800, -32.440389,
0.095900, -35.587658,
0.096000, 12.192766,
0.096100, -38.878643,
0.096200, -16.716973,
0.096300, -33.548115,
0.096400, -42.778603,
0.096500, -36.323241,
0.096600, -16.040839,
0.096700, 2.951441,
0.096800, -7.851123,
0.096900, 66.451181,
0.097000, 94.665717,
0.097100, 66.494472,
0.097200, 48.667229,
0.097300, 7.769361,
0.097400, 22.114673,
0.097500, -14.138859,
0.097600, -30.275446,
0.097700, -71.999424,
0.097800, -33.957790,
0.097900, -62.858604,
0.098000, -33.094907,
0.098100, -41.672100,
0.098200, -22.528798,
0.098300, -14.356107,
0.098400, 4.778959,
0.098500, -3.691553,
0.098600, -17.059296,
0.098700, -15.974981,
0.098800, 42.326364,
0.098900, 62.853018,
0.099000, 18.067520,
0.099100, 63.678819,
0.099200, 70.591760,
0.099300, 55.053129,
0.099400, 31.028230,
0.099500, 112.355950,
0.099600, 20.554169,
0.099700, 25.037432,
0.099800, -56.326503,
0.099900, -22.077061,
0.100000, -22.186927,
0.100100, -48.461353,
0.100200, -40.762838,
0.100300, -65.850759,
0.100400, -57.021150,
0.100500, -45.538466,
0.100600, -35.726059,
0.100700, -51.279575,
0.100800, -23.284775,
0.100900, -30.546613,
0.101000, -9.383640,
0.101100, 7.663528,
0.101200, 19.726204,
0.101300, 55.493628,
0.101400, 8.631743,
0.101500, 1.544983,
0.101600, -19.119394,
0.101700, -7.136830,
0.101800, 13.781991,
0.101900, 20.457181,
0.102000, 88.293365,
0.102100, 99.553829,
0.102200, 59.625929,
0.102300, 39.965307,
0.102400, 29.610438,
0.102500, -6.184802,
0.102600, -58.126090,
0.102700, -30.275626,
0.102800, -15.205877,
0.102900, -25.599710,
0.103000, -2.917168,
0.103100, -2.797381,
0.103200, 23.362358,
0.103300, 40.539629,
0.103400, 0.476830,
0.103500, -58.355117,
0.103600, -27.847675,
0.103700, -7.276117,
0.103800, -61.722524,
0.103900, -65.350151,
0.104000, -40.008883,
0.104100, -58.786567,
0.104200, 11.580019,
0.104300, -11.704788,
0.104400, -12.929369,
0.104500, 46.186366,
0.104600, 114.391047,
0.104700, 20.404630,
0.104800, -6.414915,
0.104900, 38.467463,
0.105000, -1.412532,
0.105100, -4.424609,
0.105200, 17.263965,
0.105300, 99.737658,
0.105400, 50.817462,
0.105500, 42.241369,
0.105600, 57.622020,
0.105700, 29.471318,
0.105800, -1.768860,
0.105900, -21.008131,
0.106000, -36.364405,
0.106100, -49.145788,
0.106200, -33.944028,
0.106300, -28.374540,
0.106400, -51.813160,
0.106500, -28.176485,
0.106600, -71.693480,
0.106700, -56.260189,
0.106800, -33.278366,
0.106900, -1.622002,
0.107000, 10.050570,
0.107100, 50.436324,
0.107200, 37.390561,
0.107300, 93.405943,
0.107400, 40.987813,
0.107500, 53.266010,
0.107600, 1.176218,
0.107700, -46.887722,
0.107800, -41.399781,
0.107900, -43.816706,
0.108000, -54.171233,
0.108100, -47.148448,
0.108200, -28.041072,
0.108300, -23.472243,
0.108400, -43.696853,
0.108500, -14.208555,
0.108600, -21.980598,
0.108700, -14.886456,
0.108800, -2.379520,
0.108900, 11.333878,
0.109000, 91.778234,
0.109100, 33.318385,
0.109200, 48.599939,
0.109300, 81.973733,
0.109400, 58.548979,
0.109500, 34.446555,
0.109600, 75.172468,
0.109700, 119.543080,
0.109800, 21.563510,
0.109900, -17.679698,
0.110000, -22.872748,
0.110100, 2.800291,
0.110200, -81.663187,
0.110300, -19.563619,
0.110400, -71.188906,
0.110500, -31.482871,
0.110600, -54.383711,
0.110700, -0.992049,
0.110800, -46.630257,
0.110900, -60.410461,
0.111000, -25.838317,
0.111100, -41.447295,
0.111200, 0.738638,
0.111300, -9.793477,
0.111400, 26.132146,
0.111500, 3.359979,
0.111600, -6.615527,
0.111700, -10.099506,
0.111800, -25.447877,
0.111900, -4.932195,
0.112000, -13.527313,
0.112100, 32.959185,
0.112200, 66.917808,
0.112300, 90.313650,
0.112400, 79.892234,
0.112500, 22.428246,
0.112600, 36.171979,
0.112700, -11.449798,
0.112800, -25.720419,
0.112900, -15.650399,
0.113000, -11.443137,
0.113100, -21.617290,
0.113200, 9.088009,
0.113300, 3.657377,
0.113400, 68.600398,
0.113500, 36.284739,
0.113600, 3.975368,
0.113700, -21.205109,
0.113800, -25.422592,
0.113900, -31.115604,
0.114000, -48.915216,
0.114100, -49.500812,
0.114200, -16.537244,
0.114300, -34.369076,
0.114400, -48.546512,
0.114500, -20.892818,
0.114600, 12.119286,
0.114700, 6.222659,
0.114800, 120.406226,
0.114900, 25.536313,
0.115000, 14.860585,
